algorithm,file_name,number_of_nodes,number_of_leaf_nodes,time_taken
Priority-BFS,random_graph_28.txt,37,26,3.457069396972656e-05
Priority-BFS,random_graph_29.txt,38,20,5.626678466796875e-05
Priority-BFS,random_graph_30.txt,39,27,6.0558319091796875e-05
Priority-BFS,random_graph_31.txt,40,25,6.389617919921875e-05
Simulated_Annealing,random_graph_1.txt,10,9,0.06206035614013672
Simulated_Annealing,random_graph_2.txt,11,6,0.06282687187194824
Simulated_Annealing,random_graph_3.txt,12,11,0.06782102584838867
Simulated_Annealing,random_graph_4.txt,13,12,0.07959151268005371
Simulated_Annealing,random_graph_5.txt,14,10,0.08782577514648438
Simulated_Annealing,random_graph_6.txt,15,12,0.09205913543701172
Simulated_Annealing,random_graph_7.txt,16,15,0.10677862167358398
Simulated_Annealing,random_graph_8.txt,17,12,0.11769676208496094
Simulated_Annealing,random_graph_9.txt,18,14,0.14227819442749023
Simulated_Annealing,random_graph_10.txt,19,13,0.13950204849243164
Simulated_Annealing,random_graph_11.txt,20,11,0.15466666221618652
Simulated_Annealing,random_graph_12.txt,21,13,0.1550135612487793
Simulated_Annealing,random_graph_13.txt,22,17,0.1709737777709961
Simulated_Annealing,random_graph_14.txt,23,19,0.17716741561889648
Simulated_Annealing,random_graph_15.txt,24,16,0.1929168701171875
Simulated_Annealing,random_graph_16.txt,25,19,0.20256900787353516
Simulated_Annealing,random_graph_17.txt,26,19,0.22406864166259766
Simulated_Annealing,random_graph_18.txt,27,20,0.2319793701171875
Simulated_Annealing,random_graph_19.txt,28,21,0.25223422050476074
Simulated_Annealing,random_graph_20.txt,29,22,0.2682969570159912
Simulated_Annealing,random_graph_21.txt,30,23,0.3114457130432129
Simulated_Annealing,random_graph_22.txt,31,24,0.3225362300872803
Simulated_Annealing,random_graph_23.txt,32,23,0.33832621574401855
Simulated_Annealing,random_graph_24.txt,33,25,0.3354167938232422
Simulated_Annealing,random_graph_25.txt,34,24,0.35483765602111816
Simulated_Annealing,random_graph_26.txt,35,25,0.3749504089355469
Simulated_Annealing,random_graph_27.txt,36,24,0.42260003089904785
Simulated_Annealing,random_graph_28.txt,37,26,0.4194657802581787
Simulated_Annealing,random_graph_29.txt,38,25,0.4343605041503906
Simulated_Annealing,random_graph_30.txt,39,29,0.44809865951538086
Simulated_Annealing,random_graph_31.txt,40,29,0.46839213371276855



