algorithm,file_name,number_of_nodes,number_of_leaf_nodes,time_taken
2_Approximation,random_graph_1.txt,100,78,0.0
2_Approximation,random_graph_2.txt,600,561,0.0
2_Approximation,random_graph_3.txt,1100,1053,0.002
2_Approximation,random_graph_4.txt,1600,1554,0.003
2_Approximation,random_graph_5.txt,2100,2047,0.002
2_Approximation,random_graph_6.txt,2600,2545,0.004
2_Approximation,random_graph_7.txt,3100,3050,0.006
2_Approximation,random_graph_8.txt,3600,3541,0.008
2_Approximation,random_graph_9.txt,4100,4040,0.01
2_Approximation,random_graph_10.txt,4600,4542,0.012
2_Approximation,random_graph_11.txt,6000,5939,0.021
2_Approximation,random_graph_12.txt,7000,6935,0.027
2_Approximation,random_graph_13.txt,8000,7935,0.037
2_Approximation,random_graph_14.txt,9000,8933,0.045
2_Approximation,random_graph_15.txt,10000,9934,0.056
Priority-BFS,random_graph_1.txt,100,78,0.00012683868408203125
Priority-BFS,random_graph_2.txt,600,560,0.00392913818359375
Priority-BFS,random_graph_3.txt,1100,1053,0.019848108291625977
Priority-BFS,random_graph_4.txt,1600,1550,0.043534040451049805
Priority-BFS,random_graph_5.txt,2100,2054,0.05794548988342285
Priority-BFS,random_graph_6.txt,2600,2547,0.11412835121154785
Priority-BFS,random_graph_7.txt,3100,3050,0.12119007110595703
Priority-BFS,random_graph_8.txt,3600,3548,0.14942669868469238
Priority-BFS,random_graph_9.txt,4100,4045,0.243574857711792
Priority-BFS,random_graph_10.txt,4600,4545,0.4082984924316406
Priority-BFS,random_graph_11.txt,6000,5934,0.576169490814209
Priority-BFS,random_graph_12.txt,7000,6939,0.7774293422698975
Priority-BFS,random_graph_13.txt,8000,7933,1.0588569641113281
Priority-BFS,random_graph_14.txt,9000,8937,1.3100767135620117
Priority-BFS,random_graph_15.txt,10000,9934,1.647505521774292
