algorithm,file_name,number_of_nodes,number_of_leaf_nodes,time_taken
Priority-BFS,random_graph_6.txt,60,43,5.841255187988281e-05
Priority-BFS,random_graph_7.txt,70,54,7.867813110351562e-05
Priority-BFS,random_graph_8.txt,80,59,0.00010704994201660156
Priority-BFS,random_graph_9.txt,90,70,0.00011372566223144531
Priority-BFS,random_graph_10.txt,100,80,0.00015234947204589844
Priority-BFS,scale_free_graph_1.txt,100,72,0.00012874603271484375
Priority-BFS,scale_free_graph_2.txt,100,65,0.00012493133544921875
Priority-BFS,scale_free_graph_3.txt,100,75,0.00013756752014160156
Priority-BFS,scale_free_graph_4.txt,100,73,0.00015091896057128906
Priority-BFS,scale_free_graph_5.txt,100,64,0.00013899803161621094
Priority-BFS,scale_free_graph_6.txt,100,68,0.00017547607421875
Priority-BFS,scale_free_graph_7.txt,100,68,0.00012183189392089844
Priority-BFS,scale_free_graph_8.txt,100,75,9.799003601074219e-05
Priority-BFS,scale_free_graph_9.txt,100,72,0.0001239776611328125
Priority-BFS,scale_free_graph_10.txt,100,73,0.00015735626220703125
Simulated_Annealing,complete_grid_graph_1.txt,10,5,0.0982201099395752
Simulated_Annealing,complete_grid_graph_2.txt,20,10,0.18739986419677734
Simulated_Annealing,complete_grid_graph_3.txt,30,15,0.370314359664917
Simulated_Annealing,complete_grid_graph_4.txt,40,20,0.6432657241821289
Simulated_Annealing,complete_grid_graph_5.txt,50,24,0.9671995639801025
Simulated_Annealing,complete_grid_graph_6.txt,60,29,1.3435251712799072
Simulated_Annealing,complete_grid_graph_7.txt,70,34,1.7473177909851074
Simulated_Annealing,complete_grid_graph_8.txt,80,39,2.2954494953155518
Simulated_Annealing,complete_grid_graph_9.txt,90,43,2.8509860038757324
Simulated_Annealing,complete_grid_graph_10.txt,100,45,2.9045464992523193
Simulated_Annealing,incomplete_grid_graph_1.txt,10,3,0.053591012954711914
Simulated_Annealing,incomplete_grid_graph_2.txt,20,8,0.14548087120056152
Simulated_Annealing,incomplete_grid_graph_3.txt,30,15,0.37479734420776367
Simulated_Annealing,incomplete_grid_graph_4.txt,40,18,0.6440503597259521
Simulated_Annealing,incomplete_grid_graph_5.txt,50,20,0.9595789909362793
Simulated_Annealing,incomplete_grid_graph_6.txt,60,26,1.4184248447418213
Simulated_Annealing,incomplete_grid_graph_7.txt,70,29,1.9892876148223877
Simulated_Annealing,incomplete_grid_graph_8.txt,80,34,2.141310930252075
Simulated_Annealing,incomplete_grid_graph_9.txt,90,38,2.961108684539795
Simulated_Annealing,incomplete_grid_graph_10.txt,100,41,3.5241568088531494
Simulated_Annealing,random_d_regular_graph_1.txt,10,6,0.07210350036621094
Simulated_Annealing,random_d_regular_graph_2.txt,20,11,0.18891453742980957
Simulated_Annealing,random_d_regular_graph_3.txt,30,15,0.4073173999786377
Simulated_Annealing,random_d_regular_graph_4.txt,40,19,0.668259859085083
Simulated_Annealing,random_d_regular_graph_5.txt,50,24,0.9763889312744141
Simulated_Annealing,random_d_regular_graph_6.txt,60,29,1.356576919555664
Simulated_Annealing,random_d_regular_graph_7.txt,70,33,1.8306474685668945
Simulated_Annealing,random_d_regular_graph_8.txt,80,37,2.3275601863861084
Simulated_Annealing,random_d_regular_graph_9.txt,90,40,2.9593162536621094
Simulated_Annealing,random_d_regular_graph_10.txt,100,45,3.598734140396118
Simulated_Annealing,random_graph_1.txt,10,6,0.07106614112854004
Simulated_Annealing,random_graph_2.txt,20,12,0.2027580738067627
Simulated_Annealing,random_graph_3.txt,30,20,0.4255251884460449
Simulated_Annealing,random_graph_4.txt,40,23,0.6573300361633301
Simulated_Annealing,random_graph_5.txt,50,28,0.9737155437469482
Simulated_Annealing,random_graph_6.txt,60,38,1.330871343612671
Simulated_Annealing,random_graph_7.txt,70,45,1.8184962272644043
Simulated_Annealing,random_graph_8.txt,80,54,2.1664130687713623
Simulated_Annealing,random_graph_9.txt,90,60,2.3347487449645996
Simulated_Annealing,random_graph_10.txt,100,68,2.901784658432007
Simulated_Annealing,scale_free_graph_1.txt,100,77,2.870764970779419
Simulated_Annealing,scale_free_graph_2.txt,100,72,2.8432421684265137
Simulated_Annealing,scale_free_graph_3.txt,100,75,2.9099960327148438
Simulated_Annealing,scale_free_graph_4.txt,100,77,3.250405788421631
Simulated_Annealing,scale_free_graph_5.txt,100,71,3.623971939086914
Simulated_Annealing,scale_free_graph_6.txt,100,70,3.6338953971862793
Simulated_Annealing,scale_free_graph_7.txt,100,77,3.2508533000946045
Simulated_Annealing,scale_free_graph_8.txt,100,74,2.8694918155670166
Simulated_Annealing,scale_free_graph_9.txt,100,70,2.9356722831726074
Simulated_Annealing,scale_free_graph_10.txt,100,74,2.979423999786377
